,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
861,jonathan demme,oprah winfrey,kimberly elise,hill harper,drama history horror,beloved,oprah winfrey kimberly elise hill harper jonathan demme drama history horror
862,curtis hanson,robert downey jr.,robert duvall,kelvin han yee,drama romance sport,lucky you,robert downey jr. robert duvall kelvin han yee curtis hanson drama romance sport
863,steven spielberg,leonardo dicaprio,tom hanks,jennifer garner,biography crime drama,catch me if you can,leonardo dicaprio tom hanks jennifer garner steven spielberg biography crime drama
864,kathryn bigelow,jennifer ehle,harold perrineau,parker sawyers,drama history thriller,zero dark thirty,jennifer ehle harold perrineau parker sawyers kathryn bigelow drama history thriller
865,peyton reed,jon favreau,john michael higgins,ann-margret,comedy drama romance,the break-up,jon favreau john michael higgins ann-margret peyton reed comedy drama romance
866,phyllida lloyd,colin firth,meryl streep,julie walters,comedy family musical romance,mamma mia!,colin firth meryl streep julie walters phyllida lloyd comedy family musical romance
867,garry marshall,bradley cooper,taylor lautner,anne hathaway,comedy romance,valentine's day,bradley cooper taylor lautner anne hathaway garry marshall comedy romance
868,jay chandrasekhar,alice greczyn,jessica simpson,michael weston,action adventure comedy,the dukes of hazzard,alice greczyn jessica simpson michael weston jay chandrasekhar action adventure comedy
869,terrence malick,nick stahl,miranda otto,dash mihok,drama war,the thin red line,nick stahl miranda otto dash mihok terrence malick drama war
870,david dobkin,ryan reynolds,olivia wilde,mircea monroe,comedy fantasy,the change-up,ryan reynolds olivia wilde mircea monroe david dobkin comedy fantasy
871,milos forman,matt price,gerry becker,tom dreesen,biography comedy drama,man on the moon,matt price gerry becker tom dreesen milos forman biography comedy drama
872,martin scorsese,robert de niro,don rickles,kevin pollak,biography crime drama,casino,robert de niro don rickles kevin pollak martin scorsese biography crime drama
873,pierre morel,kasia smutniak,amber rose revah,rebecca dayan,action thriller,from paris with love,kasia smutniak amber rose revah rebecca dayan pierre morel action thriller
874,paul hunter,jaime king,mako,victoria smurfit,action comedy fantasy,bulletproof monk,jaime king mako victoria smurfit paul hunter action comedy fantasy
875,bobby farrelly,robert forster,tony cox,rob moran,comedy,"me, myself & irene",robert forster tony cox rob moran bobby farrelly comedy
876,steve oedekerk,rob paulsen,wanda sykes,maurice lamarche,animation comedy family,barnyard,rob paulsen wanda sykes maurice lamarche steve oedekerk animation comedy family
877,john whitesell,matthew broderick,jorge garcia,alia shawkat,comedy family,deck the halls,matthew broderick jorge garcia alia shawkat john whitesell comedy family
878,chris weitz,robert pattinson,kristen stewart,taylor lautner,adventure drama fantasy romance,the twilight saga: new moon,robert pattinson kristen stewart taylor lautner chris weitz adventure drama fantasy romance
879,andrew adamson,kathleen freeman,chris miller,bobby block,adventure animation comedy family fantasy,shrek,kathleen freeman chris miller bobby block andrew adamson adventure animation comedy family fantasy
880,george nolfi,matt damon,michael kelly,jon stewart,romance sci-fi thriller,the adjustment bureau,matt damon michael kelly jon stewart george nolfi romance sci-fi thriller
881,kevin reynolds,alan rickman,morgan freeman,michael wincott,action adventure drama romance,robin hood: prince of thieves,alan rickman morgan freeman michael wincott kevin reynolds action adventure drama romance
882,cameron crowe,tom cruise,kelly preston,bonnie hunt,comedy drama romance sport,jerry maguire,tom cruise kelly preston bonnie hunt cameron crowe comedy drama romance sport
883,seth macfarlane,mila kunis,seth macfarlane,tom skerritt,comedy fantasy,ted,mila kunis seth macfarlane tom skerritt seth macfarlane comedy fantasy
884,james l. brooks,lupe ontiveros,yeardley smith,shirley knight,comedy drama romance,as good as it gets,lupe ontiveros yeardley smith shirley knight james l. brooks comedy drama romance
885,tom shadyac,robin williams,philip seymour hoffman,monica potter,biography comedy drama romance,patch adams,robin williams philip seymour hoffman monica potter tom shadyac biography comedy drama romance
886,adam mckay,harrison ford,will ferrell,steve carell,comedy,anchorman 2: the legend continues,harrison ford will ferrell steve carell adam mckay comedy
887,steven brill,steve buscemi,adam sandler,peter gallagher,comedy romance,mr. deeds,steve buscemi adam sandler peter gallagher steven brill comedy romance
888,j.j. abrams,joel courtney,aj michalka,zach mills,mystery sci-fi thriller,super 8,joel courtney aj michalka zach mills j.j. abrams mystery sci-fi thriller
889,steven soderbergh,julia roberts,albert finney,conchata ferrell,biography drama,erin brockovich,julia roberts albert finney conchata ferrell steven soderbergh biography drama
890,donald petrie,matthew mcconaughey,adam goldberg,thomas lennon,comedy romance,how to lose a guy in 10 days,matthew mcconaughey adam goldberg thomas lennon donald petrie comedy romance
891,phil lord,channing tatum,craig roberts,amber stevens west,action comedy crime,22 jump street,channing tatum craig roberts amber stevens west phil lord action comedy crime
892,neil jordan,brad pitt,tom cruise,kirsten dunst,drama fantasy horror,interview with the vampire: the vampire chronicles,brad pitt tom cruise kirsten dunst neil jordan drama fantasy horror
893,peyton reed,bradley cooper,zooey deschanel,danny masterson,comedy romance,yes man,bradley cooper zooey deschanel danny masterson peyton reed comedy romance
894,rawson marshall thurber,dwayne johnson,thomas kretschmann,megan park,action comedy crime,central intelligence,dwayne johnson thomas kretschmann megan park rawson marshall thurber action comedy crime
895,chris columbus,julia roberts,liam aiken,herbert russell,comedy drama,stepmom,julia roberts liam aiken herbert russell chris columbus comedy drama
896,sean anders,will ferrell,linda cardellini,mark l. young,comedy family,daddy's home,will ferrell linda cardellini mark l. young sean anders comedy family
897,rob marshall,johnny depp,meryl streep,anna kendrick,adventure comedy drama fantasy musical,into the woods,johnny depp meryl streep anna kendrick rob marshall adventure comedy drama fantasy musical
898,spike lee,denzel washington,james ransone,peter gerety,crime drama mystery thriller,inside man,denzel washington james ransone peter gerety spike lee crime drama mystery thriller
899,brian helgeland,bill duke,deborah kara unger,william devane,action crime drama thriller,payback,bill duke deborah kara unger william devane brian helgeland action crime drama thriller
900,frank marshall,dylan walsh,joe don baker,grant heslov,action adventure mystery sci-fi,congo,dylan walsh joe don baker grant heslov frank marshall action adventure mystery sci-fi
901,cameron crowe,scarlett johansson,matt damon,stephanie szostak,comedy drama family,we bought a zoo,scarlett johansson matt damon stephanie szostak cameron crowe comedy drama family
902,alex proyas,nicolas cage,ben mendelsohn,chandler canterbury,drama mystery sci-fi thriller,knowing,nicolas cage ben mendelsohn chandler canterbury alex proyas drama mystery sci-fi thriller
903,tom dey,bradley cooper,matthew mcconaughey,zooey deschanel,comedy romance,failure to launch,bradley cooper matthew mcconaughey zooey deschanel tom dey comedy romance
904,hideo nakata,naomi watts,gary cole,sissy spacek,horror mystery,the ring two,naomi watts gary cole sissy spacek hideo nakata horror mystery
905,glenn ficarra,ryan gosling,emma stone,steve carell,comedy drama romance,"crazy, stupid, love.",ryan gosling emma stone steve carell glenn ficarra comedy drama romance
906,peter hewitt,bill murray,mark christopher lawrence,michael monks,animation comedy family fantasy,garfield,bill murray mark christopher lawrence michael monks peter hewitt animation comedy family fantasy
907,joe roth,jamie lee curtis,cheech marin,jake busey,comedy family,christmas with the kranks,jamie lee curtis cheech marin jake busey joe roth comedy family
908,bennett miller,philip seymour hoffman,robin wright,brad pitt,biography drama sport,moneyball,philip seymour hoffman robin wright brad pitt bennett miller biography drama sport
909,wolfgang petersen,kevin spacey,morgan freeman,rene russo,action drama thriller,outbreak,kevin spacey morgan freeman rene russo wolfgang petersen action drama thriller
910,jaume collet-serra,liam neeson,nate parker,scoot mcnairy,action mystery thriller,non-stop,liam neeson nate parker scoot mcnairy jaume collet-serra action mystery thriller
911,andy fickman,dwayne johnson,billy brown,tom everett scott,action adventure family fantasy sci-fi thriller,race to witch mountain,dwayne johnson billy brown tom everett scott andy fickman action adventure family fantasy sci-fi thriller
912,james mcteigue,natalie portman,eddie marsan,rupert graves,action drama thriller,v for vendetta,natalie portman eddie marsan rupert graves james mcteigue action drama thriller
913,david dobkin,fann wong,anna-louise plowman,georgina chapman,action adventure comedy,shanghai knights,fann wong anna-louise plowman georgina chapman david dobkin action adventure comedy
914,unknown,bernard hill,gemma jones,nicola walker,crime drama,unforgotten            ,bernard hill gemma jones nicola walker unknown crime drama
915,matthew o'callaghan,will ferrell,frank welker,alexander gould,adventure animation comedy family,curious george,will ferrell frank welker alexander gould matthew o'callaghan adventure animation comedy family
916,angela robinson,scoot mcnairy,thomas lennon,cheryl hines,adventure comedy family fantasy romance sport,herbie fully loaded,scoot mcnairy thomas lennon cheryl hines angela robinson adventure comedy family fantasy romance sport
917,gary fleder,oliver platt,jennifer esposito,conrad goode,crime drama mystery thriller,don't say a word,oliver platt jennifer esposito conrad goode gary fleder crime drama mystery thriller
918,tommy wirkola,jeremy renner,derek mears,ingrid bolsø berdal,action fantasy horror,hansel & gretel: witch hunters,jeremy renner derek mears ingrid bolsø berdal tommy wirkola action fantasy horror
919,adrian lyne,olivier martinez,erik per sullivan,chad lowe,drama thriller,unfaithful,olivier martinez erik per sullivan chad lowe adrian lyne drama thriller
920,d.j. caruso,alex pettyfer,emily wickersham,reuben langdon,action adventure sci-fi thriller,i am number four,alex pettyfer emily wickersham reuben langdon d.j. caruso action adventure sci-fi thriller
921,michael bay,toby stephens,james badge dale,david costabile,action drama thriller war,13 hours,toby stephens james badge dale david costabile michael bay action drama thriller war
922,jorge r. gutiérrez,channing tatum,hector elizondo,ana de la reguera,adventure animation comedy family fantasy romance,the book of life,channing tatum hector elizondo ana de la reguera jorge r. gutiérrez adventure animation comedy family fantasy romance
923,richard loncraine,jimmy bennett,harrison ford,mary lynn rajskub,crime thriller,firewall,jimmy bennett harrison ford mary lynn rajskub richard loncraine crime thriller
924,clint eastwood,clint eastwood,mark margolis,scott glenn,action crime drama thriller,absolute power,clint eastwood mark margolis scott glenn clint eastwood action crime drama thriller
925,ridley scott,viggo mortensen,demi moore,john michael higgins,action drama war,g.i. jane,viggo mortensen demi moore john michael higgins ridley scott action drama war
926,david fincher,deborah kara unger,armin mueller-stahl,charles martinet,drama mystery thriller,the game,deborah kara unger armin mueller-stahl charles martinet david fincher drama mystery thriller
927,christophe gans,radha mitchell,deborah kara unger,alice krige,adventure horror mystery,silent hill,radha mitchell deborah kara unger alice krige christophe gans adventure horror mystery
928,howard deutch,keanu reeves,jon favreau,faizon love,comedy sport,the replacements,keanu reeves jon favreau faizon love howard deutch comedy sport
929,jon hurwitz,alyson hannigan,dania ramirez,natasha lyonne,comedy,american reunion,alyson hannigan dania ramirez natasha lyonne jon hurwitz comedy
930,f. gary gray,kevin spacey,michael cudlitz,siobhan fallon hogan,action crime drama mystery thriller,the negotiator,kevin spacey michael cudlitz siobhan fallon hogan f. gary gray action crime drama mystery thriller
931,steven quale,matt walsh,alycia debnam-carey,scott lawrence,action thriller,into the storm,matt walsh alycia debnam-carey scott lawrence steven quale action thriller
932,john landis,louis lombardi,jon tenney,gilbert r. hill,action comedy crime thriller,beverly hills cop iii,louis lombardi jon tenney gilbert r. hill john landis action comedy crime thriller
933,joe dante,christopher lee,robert picardo,phoebe cates,comedy fantasy horror,gremlins 2: the new batch,christopher lee robert picardo phoebe cates joe dante comedy fantasy horror
934,david dobkin,robert downey jr.,robert duvall,leighton meester,crime drama,the judge,robert downey jr. robert duvall leighton meester david dobkin crime drama
935,mimi leder,armin mueller-stahl,holt mccallany,marcel iures,action thriller,the peacemaker,armin mueller-stahl holt mccallany marcel iures mimi leder action thriller
936,alexander witt,milla jovovich,thomas kretschmann,mike epps,action horror sci-fi thriller,resident evil: apocalypse,milla jovovich thomas kretschmann mike epps alexander witt action horror sci-fi thriller
937,beeban kidron,colin firth,jim broadbent,celia imrie,comedy drama romance,bridget jones: the edge of reason,colin firth jim broadbent celia imrie beeban kidron comedy drama romance
938,carl franklin,denzel washington,sanaa lathan,john billingsley,crime drama romance thriller,out of time,denzel washington sanaa lathan john billingsley carl franklin crime drama romance thriller
939,steven seagal,mike starr,joan chen,sven-ole thorsen,action adventure thriller,on deadly ground,mike starr joan chen sven-ole thorsen steven seagal action adventure thriller
940,robert rodriguez,taylor lautner,kristin davis,taylor dooley,action adventure family fantasy,the adventures of sharkboy and lavagirl 3-d,taylor lautner kristin davis taylor dooley robert rodriguez action adventure family fantasy
941,danny boyle,leonardo dicaprio,virginie ledoyen,peter youngblood hills,adventure drama thriller,the beach,leonardo dicaprio virginie ledoyen peter youngblood hills danny boyle adventure drama thriller
942,garry marshall,amber valletta,felicity huffman,spencer breslin,comedy drama romance,raising helen,amber valletta felicity huffman spencer breslin garry marshall comedy drama romance
943,james mcteigue,shô kosugi,ben miles,rain,action crime thriller,ninja assassin,shô kosugi ben miles rain james mcteigue action crime thriller
944,sam raimi,j.k. simmons,kelly preston,carmine giovinazzo,drama romance sport,for love of the game,j.k. simmons kelly preston carmine giovinazzo sam raimi drama romance sport
945,unknown,david jason,bruce alexander,john lyons,crime drama mystery,a touch of frost            ,david jason bruce alexander john lyons unknown crime drama mystery
946,andrew bergman,demi moore,rumer willis,paul guilfoyle,comedy crime drama thriller,striptease,demi moore rumer willis paul guilfoyle andrew bergman comedy crime drama thriller
947,tom dey,emma stone,judy greer,steve coogan,comedy family,marmaduke,emma stone judy greer steve coogan tom dey comedy family
948,clint eastwood,matt damon,jay mohr,cécile de france,drama fantasy,hereafter,matt damon jay mohr cécile de france clint eastwood drama fantasy
949,richard donner,muse watson,sylvester stallone,kelly rowan,action crime thriller,assassins,muse watson sylvester stallone kelly rowan richard donner action crime thriller
950,peter webber,li gong,stephen walters,richard brake,crime drama thriller,hannibal rising,li gong stephen walters richard brake peter webber crime drama thriller
951,rob reiner,bruce willis,tim matheson,rita wilson,comedy drama romance,the story of us,bruce willis tim matheson rita wilson rob reiner comedy drama romance
952,john mctiernan,connie nielsen,harry connick jr.,tim daly,action crime drama mystery thriller,basic,connie nielsen harry connick jr. tim daly john mctiernan action crime drama mystery thriller
953,clint eastwood,clint eastwood,anjelica huston,rick hoffman,action crime drama mystery thriller,blood work,clint eastwood anjelica huston rick hoffman clint eastwood action crime drama mystery thriller
954,tom tykwer,naomi watts,brían f. o'byrne,armin mueller-stahl,action crime drama mystery thriller,the international,naomi watts brían f. o'byrne armin mueller-stahl tom tykwer action crime drama mystery thriller
955,john carpenter,steve buscemi,valeria golino,michelle forbes,action adventure sci-fi thriller,escape from l.a.,steve buscemi valeria golino michelle forbes john carpenter action adventure sci-fi thriller
956,unknown,grey damon,brittany curran,aaron hill,drama mystery thriller,twisted            ,grey damon brittany curran aaron hill unknown drama mystery thriller
957,brad bird,vin diesel,harry connick jr.,m. emmet walsh,action adventure animation comedy drama family sci-fi,the iron giant,vin diesel harry connick jr. m. emmet walsh brad bird action adventure animation comedy drama family sci-fi
958,wes anderson,bill murray,anjelica huston,matthew gray gubler,adventure comedy drama,the life aquatic with steve zissou,bill murray anjelica huston matthew gray gubler wes anderson adventure comedy drama
959,gary ross,matthew mcconaughey,donald watkins,jessica collins,action biography drama history war,free state of jones,matthew mcconaughey donald watkins jessica collins gary ross action biography drama history war
960,alan parker,kevin spacey,kate winslet,matt craven,crime drama thriller,the life of david gale,kevin spacey kate winslet matt craven alan parker crime drama thriller
961,stephen herek,christina milian,vanessa ferlito,kelli garner,action comedy,man of the house,christina milian vanessa ferlito kelli garner stephen herek action comedy
962,jaume collet-serra,liam neeson,common,bruce mcgill,action crime drama thriller,run all night,liam neeson common bruce mcgill jaume collet-serra action crime drama thriller
963,david cronenberg,viggo mortensen,naomi watts,raza jaffrey,crime mystery thriller,eastern promises,viggo mortensen naomi watts raza jaffrey david cronenberg crime mystery thriller
964,john stockwell,paul walker,james frain,ashley scott,action adventure crime thriller,into the blue,paul walker james frain ashley scott john stockwell action adventure crime thriller
965,luc besson,paul brooke,david bailie,rab affleck,adventure biography drama history war,the messenger: the story of joan of arc,paul brooke david bailie rab affleck luc besson adventure biography drama history war
966,david gordon green,natalie portman,zooey deschanel,james franco,adventure comedy fantasy,your highness,natalie portman zooey deschanel james franco david gordon green adventure comedy fantasy
967,jim sheridan,naomi watts,gregory smith,sarah gadon,drama mystery thriller,dream house,naomi watts gregory smith sarah gadon jim sheridan drama mystery thriller
968,costa-gavras,mia kirshner,blythe danner,william atherton,crime drama thriller,mad city,mia kirshner blythe danner william atherton costa-gavras crime drama thriller
969,patrick read johnson,joe mantegna,lara flynn boyle,cynthia nixon,adventure comedy crime drama family,baby's day out,joe mantegna lara flynn boyle cynthia nixon patrick read johnson adventure comedy crime drama family
970,roland joffé,gary oldman,robert duvall,demi moore,drama romance,the scarlet letter,gary oldman robert duvall demi moore roland joffé drama romance
971,doug liman,naomi watts,ty burrell,brooke smith,biography drama thriller,fair game,naomi watts ty burrell brooke smith doug liman biography drama thriller
972,unknown,julie benz,tony curran,grant bowler,action drama sci-fi,defiance            ,julie benz tony curran grant bowler unknown action drama sci-fi
973,tony scott,ian ziering,mo'nique,edgar ramírez,action biography crime drama thriller,domino,ian ziering mo'nique edgar ramírez tony scott action biography crime drama thriller
974,william friedkin,michael biehn,chazz palminteri,linda fiorentino,crime drama thriller,jade,michael biehn chazz palminteri linda fiorentino william friedkin crime drama thriller
975,mark neveldine,gerard butler,logan lerman,alison lohman,action sci-fi thriller,gamer,gerard butler logan lerman alison lohman mark neveldine action sci-fi thriller
976,richard lagravenese,alden ehrenreich,zoey deutch,pruitt taylor vince,drama fantasy romance,beautiful creatures,alden ehrenreich zoey deutch pruitt taylor vince richard lagravenese drama fantasy romance
977,danny devito,robin williams,vincent schiavelli,danny woodburn,comedy crime drama thriller,death to smoochy,robin williams vincent schiavelli danny woodburn danny devito comedy crime drama thriller
978,ben stiller,milla jovovich,will ferrell,justin theroux,comedy,zoolander 2,milla jovovich will ferrell justin theroux ben stiller comedy
979,george armitage,morgan freeman,andrew wilson,willie nelson,comedy crime,the big bounce,morgan freeman andrew wilson willie nelson george armitage comedy crime
980,mike nichols,judy greer,linda fiorentino,garry shandling,comedy sci-fi,what planet are you from?,judy greer linda fiorentino garry shandling mike nichols comedy sci-fi
981,patrick lussier,nicolas cage,billy burke,katy mixon,action fantasy thriller,drive angry,nicolas cage billy burke katy mixon patrick lussier action fantasy thriller
982,andrzej bartkowiak,chris klein,robin shou,josie ho,action crime drama mystery thriller,street fighter: the legend of chun-li,chris klein robin shou josie ho andrzej bartkowiak action crime drama mystery thriller
983,james wong,jason statham,jet li,delroy lindo,action sci-fi thriller,the one,jason statham jet li delroy lindo james wong action sci-fi thriller
984,unknown,tobias menzies,graham mctavish,stephen walters,drama romance sci-fi,outlander            ,tobias menzies graham mctavish stephen walters unknown drama romance sci-fi
985,renny harlin,lauren holly,gilbert gottfried,david patrick kelly,action adventure comedy crime music mystery,the adventures of ford fairlane,lauren holly gilbert gottfried david patrick kelly renny harlin action adventure comedy crime music mystery
986,richard curtis,philip seymour hoffman,charlie rowe,tom sturridge,comedy drama music,pirate radio,philip seymour hoffman charlie rowe tom sturridge richard curtis comedy drama music
987,steven soderbergh,michael o'neill,jacob vargas,james lew,crime drama thriller,traffic,michael o'neill jacob vargas james lew steven soderbergh crime drama thriller
988,steven spielberg,harrison ford,julian glover,alison doody,action adventure fantasy,indiana jones and the last crusade,harrison ford julian glover alison doody steven spielberg action adventure fantasy
989,joe wright,kelly macdonald,guro nagelhus schia,matthew macfadyen,drama romance,anna karenina,kelly macdonald guro nagelhus schia matthew macfadyen joe wright drama romance
990,neill blomkamp,hugh jackman,sharlto copley,jose pablo cantillo,action crime drama sci-fi thriller,chappie,hugh jackman sharlto copley jose pablo cantillo neill blomkamp action crime drama sci-fi thriller
991,phillip noyce,denzel washington,angelina jolie pitt,leland orser,crime drama mystery thriller,the bone collector,denzel washington angelina jolie pitt leland orser phillip noyce crime drama mystery thriller
992,david fincher,kristen stewart,dwight yoakam,mel rodriguez,crime drama thriller,panic room,kristen stewart dwight yoakam mel rodriguez david fincher crime drama thriller
993,chuck bowman,p.j. soles,lochlyn munro,steve bacic,horror thriller,the tooth fairy,p.j. soles lochlyn munro steve bacic chuck bowman horror thriller
994,david o. russell,judy greer,jamie kennedy,mykelti williamson,action adventure comedy drama war,three kings,judy greer jamie kennedy mykelti williamson david o. russell action adventure comedy drama war
995,daniel espinosa,tom hardy,fares fares,michael nardone,crime drama thriller,child 44,tom hardy fares fares michael nardone daniel espinosa crime drama thriller
996,jerry zucker,corinna harney,douglas haase,vince vieluf,adventure comedy,rat race,corinna harney douglas haase vince vieluf jerry zucker adventure comedy
997,iain softley,kevin spacey,jeff bridges,alfre woodard,drama mystery sci-fi,k-pax,kevin spacey jeff bridges alfre woodard iain softley drama mystery sci-fi
998,james mangold,hugh jackman,natasha lyonne,bradley whitford,comedy fantasy romance,kate & leopold,hugh jackman natasha lyonne bradley whitford james mangold comedy fantasy romance
999,harold ramis,brendan fraser,frances o'connor,brian doyle-murray,comedy fantasy romance,bedazzled,brendan fraser frances o'connor brian doyle-murray harold ramis comedy fantasy romance
1000,francis ford coppola,nicolas cage,bob hoskins,fred gwynne,crime drama music,the cotton club,nicolas cage bob hoskins fred gwynne francis ford coppola crime drama music
1001,james mangold,christian bale,logan lerman,gretchen mol,adventure crime drama western,3:10 to yuma,christian bale logan lerman gretchen mol james mangold adventure crime drama western
1002,olivier megaton,liam neeson,dougray scott,jon gries,action thriller,taken 3,liam neeson dougray scott jon gries olivier megaton action thriller
1003,steven soderbergh,don cheadle,albert brooks,keith hudson,crime drama romance thriller,out of sight,don cheadle albert brooks keith hudson steven soderbergh crime drama romance thriller
1004,ben stiller,matthew broderick,janeane garofalo,andy dick,comedy drama thriller,the cable guy,matthew broderick janeane garofalo andy dick ben stiller comedy drama thriller
1005,deepa mehta,nandita das,gulshan grover,eric peterson,drama romance war,earth,nandita das gulshan grover eric peterson deepa mehta drama romance war
1006,warren beatty,charlie korsmo,warren beatty,seymour cassel,action comedy crime music romance thriller,dick tracy,charlie korsmo warren beatty seymour cassel warren beatty action comedy crime music romance thriller
1007,john mctiernan,mark margolis,faye dunaway,denis leary,crime romance thriller,the thomas crown affair,mark margolis faye dunaway denis leary john mctiernan crime romance thriller
1008,penny marshall,rosie perez,adam garcia,alissa dean,biography comedy drama,riding in cars with boys,rosie perez adam garcia alissa dean penny marshall biography comedy drama
1009,andrei tarkovsky,donatas banionis,anatoliy solonitsyn,natalya bondarchuk,drama mystery sci-fi,solaris,donatas banionis anatoliy solonitsyn natalya bondarchuk andrei tarkovsky drama mystery sci-fi
1010,paul bolger,sarah michelle gellar,george carlin,rob paulsen,adventure animation comedy family fantasy,happily n'ever after,sarah michelle gellar george carlin rob paulsen paul bolger adventure animation comedy family fantasy
1011,stephen frears,julia roberts,bronagh gallagher,george cole,drama horror romance thriller,mary reilly,julia roberts bronagh gallagher george cole stephen frears drama horror romance thriller
1012,p.j. hogan,julia roberts,christopher masterson,rupert everett,comedy romance,my best friend's wedding,julia roberts christopher masterson rupert everett p.j. hogan comedy romance
1013,joe roth,julia roberts,rainn wilson,larry king,comedy romance,america's sweethearts,julia roberts rainn wilson larry king joe roth comedy romance
1014,christopher nolan,al pacino,maura tierney,crystal lowe,drama mystery thriller,insomnia,al pacino maura tierney crystal lowe christopher nolan drama mystery thriller
1015,jonathan frakes,levar burton,alfre woodard,jonathan frakes,action adventure drama sci-fi thriller,star trek: first contact,levar burton alfre woodard jonathan frakes jonathan frakes action adventure drama sci-fi thriller
1016,jimmy hayward,michael fassbender,billy blair,julia jones,action drama fantasy thriller western,jonah hex,michael fassbender billy blair julia jones jimmy hayward action drama fantasy thriller western
1017,edward zwick,denzel washington,matt damon,scott glenn,action drama mystery thriller war,courage under fire,denzel washington matt damon scott glenn edward zwick action drama mystery thriller war
1018,tom shadyac,maura tierney,swoosie kurtz,randall 'tex' cobb,comedy fantasy romance,liar liar,maura tierney swoosie kurtz randall 'tex' cobb tom shadyac comedy fantasy romance
1019,brad furman,joseph gilgun,amy ryan,olympia dukakis,biography crime drama thriller,the infiltrator,joseph gilgun amy ryan olympia dukakis brad furman biography crime drama thriller
1020,terence young,laurence olivier,ben gazzara,jacqueline bisset,drama history war,inchon,laurence olivier ben gazzara jacqueline bisset terence young drama history war
1021,brian levant,jonathan winters,elizabeth perkins,harvey korman,comedy family fantasy,the flintstones,jonathan winters elizabeth perkins harvey korman brian levant comedy family fantasy
1022,olivier megaton,liam neeson,luke grimes,d.b. sweeney,action crime thriller,taken 2,liam neeson luke grimes d.b. sweeney olivier megaton action crime thriller
1023,david zucker,regina hall,pamela anderson,jenny mccarthy,comedy,scary movie 3,regina hall pamela anderson jenny mccarthy david zucker comedy
1024,donald petrie,candice bergen,wendy raquel robinson,heather burns,action comedy crime romance,miss congeniality,candice bergen wendy raquel robinson heather burns donald petrie action comedy crime romance
1025,eric brevig,josh hutcherson,brendan fraser,anita briem,action adventure family fantasy sci-fi,journey to the center of the earth,josh hutcherson brendan fraser anita briem eric brevig action adventure family fantasy sci-fi
1026,garry marshall,anne hathaway,raven-symoné,hector elizondo,comedy family romance,the princess diaries 2: royal engagement,anne hathaway raven-symoné hector elizondo garry marshall comedy family romance
1027,alan j. pakula,denzel washington,julia roberts,tony goldwyn,crime drama mystery thriller,the pelican brief,denzel washington julia roberts tony goldwyn alan j. pakula crime drama mystery thriller
1028,joel schumacher,bradley whitford,anthony lapaglia,brad renfro,crime drama mystery thriller,the client,bradley whitford anthony lapaglia brad renfro joel schumacher crime drama mystery thriller
1029,rob reiner,morgan freeman,noel gugliemi,sean hayes,adventure comedy drama,the bucket list,morgan freeman noel gugliemi sean hayes rob reiner adventure comedy drama
1030,phillip noyce,harrison ford,polly walker,patrick bergin,action thriller,patriot games,harrison ford polly walker patrick bergin phillip noyce action thriller
1031,robert luketic,adam scott,jane fonda,elaine stritch,comedy romance,monster-in-law,adam scott jane fonda elaine stritch robert luketic comedy romance
1032,denis villeneuve,hugh jackman,jake gyllenhaal,dylan minnette,crime drama mystery thriller,prisoners,hugh jackman jake gyllenhaal dylan minnette denis villeneuve crime drama mystery thriller
1033,antoine fuqua,denzel washington,snoop dogg,tom berenger,crime drama thriller,training day,denzel washington snoop dogg tom berenger antoine fuqua crime drama thriller
1034,dean parisot,alan rickman,enrico colantoni,robin sachs,adventure comedy sci-fi,galaxy quest,alan rickman enrico colantoni robin sachs dean parisot adventure comedy sci-fi
1035,keenen ivory wayans,natasha lyonne,veronica cartwright,andy richter,comedy,scary movie 2,natasha lyonne veronica cartwright andy richter keenen ivory wayans comedy
1036,james bobin,bill cobbs,eric jacobson,steve whitmire,adventure comedy family musical,the muppets,bill cobbs eric jacobson steve whitmire james bobin adventure comedy family musical
1037,stephen norrington,sanaa lathan,traci lords,udo kier,action horror,blade,sanaa lathan traci lords udo kier stephen norrington action horror
1038,thomas carter,channing tatum,rick gonzalez,robert ri'chard,drama sport,coach carter,channing tatum rick gonzalez robert ri'chard thomas carter drama sport
1039,roger michell,sydney pollack,matt malloy,bruce altman,drama thriller,changing lanes,sydney pollack matt malloy bruce altman roger michell drama thriller
1040,luis llosa,frank welker,eric stoltz,kari wuhrer,action adventure horror thriller,anaconda,frank welker eric stoltz kari wuhrer luis llosa action adventure horror thriller
1041,david mcnally,adam garcia,tyra banks,izabella miko,comedy drama music romance,coyote ugly,adam garcia tyra banks izabella miko david mcnally comedy drama music romance
1042,richard curtis,colin firth,liam neeson,kris marshall,comedy drama romance,love actually,colin firth liam neeson kris marshall richard curtis comedy drama romance
1043,john lasseter,kevin spacey,madeline kahn,john ratzenberger,adventure animation comedy family fantasy,a bug's life,kevin spacey madeline kahn john ratzenberger john lasseter adventure animation comedy family fantasy
1044,luis llosa,sylvester stallone,rod steiger,emilio estefan jr.,action crime drama romance thriller,the specialist,sylvester stallone rod steiger emilio estefan jr. luis llosa action crime drama romance thriller
1045,ron shelton,don johnson,cheech marin,rene russo,comedy drama romance sport,tin cup,don johnson cheech marin rene russo ron shelton comedy drama romance sport
1046,melville shavelson,lucille ball,tom bosley,tim matheson,comedy family,"yours, mine and ours",lucille ball tom bosley tim matheson melville shavelson comedy family
